key,reason,record_type,source
BTC/USDT/524618406,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524618407,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524618651,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524941559,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524941560,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/525311287,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/527529495,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301052357,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301052358,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301052359,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301052360,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301052361,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301052362,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301069930,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301069932,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301329343,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301329348,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301331104,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301331107,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301391041,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301393326,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301393369,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/301393459,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/302282022,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/302406092,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/302406093,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/302406094,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/302406095,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/302659981,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303011477,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303011478,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
