commission,exchange_event_time,order_id,position_side,price,quantity,realized_pnl,side,strategy,symbol,trade_id,v2_matched
0.02416473,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.032,0,SELL,testnet_sampling_v2,ETH/USDT,313839946,True
0.02416473,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.032,0,SELL,testnet_sampling_v2,ETH/USDT,313839947,True
0.01208236,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.016,0,SELL,testnet_sampling_v2,ETH/USDT,313839948,True
0.01132722,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.015,0,SELL,testnet_sampling_v2,ETH/USDT,313839949,True
0.00226544,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.003,0,SELL,testnet_sampling_v2,ETH/USDT,313839950,True
0.02416473,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.032,0,SELL,testnet_sampling_v2,ETH/USDT,313839951,True
0.02416473,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.032,0,SELL,testnet_sampling_v2,ETH/USDT,313839952,True
6.70643386,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.86,8.881,0,SELL,testnet_sampling_v2,ETH/USDT,313839953,True
0.02538900,2026-08-14T02:30:33.551000+00:00,28540443628,BOTH,63472.50,0.0010,0,BUY,testnet_sampling_v2,BTC/USDT,527346568,True
0.02539704,2026-08-14T02:30:33.551000+00:00,28540443628,BOTH,63492.60,0.0010,0,BUY,testnet_sampling_v2,BTC/USDT,527346569,True
6.93136526,2026-08-14T02:30:33.551000+00:00,28540443628,BOTH,63497.30,0.2729,0,BUY,testnet_sampling_v2,BTC/USDT,527346570,True
6.95768601,2026-08-14T04:01:23.131000+00:00,28540513878,BOTH,63274.70,0.2749,-61.16324000,SELL,exit:f5a3633e-c0e8-47cd-8fed-013d7817d1f4:HARD_STOP,BTC/USDT,527365527,True
5.04786990,2026-08-14T04:15:36.251000+00:00,28540523169,BOTH,63383.60,0.1991,0,SELL,testnet_sampling_v2,BTC/USDT,527367749,True
1.86854852,2026-08-14T04:15:36.251000+00:00,28540523169,BOTH,63383.60,0.0737,0,SELL,testnet_sampling_v2,BTC/USDT,527367750,True
0.03981572,2026-08-14T06:21:35.795000+00:00,16760477263,BOTH,1878.10,0.053,0.51735605,BUY,exit:f5e6c777-1529-4957-8185-e5625822e71c:TAKE_PROFIT,ETH/USDT,313903710,True
6.89127128,2026-08-14T06:21:35.795000+00:00,16760477263,BOTH,1878.14,9.173,89.17472394,BUY,exit:f5e6c777-1529-4957-8185-e5625822e71c:TAKE_PROFIT,ETH/USDT,313903711,True
0.01200844,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.32,0.016,0,SELL,testnet_sampling_v2,ETH/USDT,313908712,True
0.01426003,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.32,0.019,0,SELL,testnet_sampling_v2,ETH/USDT,313908713,True
0.01350950,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.32,0.018,0,SELL,testnet_sampling_v2,ETH/USDT,313908714,True
0.01125792,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.32,0.015,0,SELL,testnet_sampling_v2,ETH/USDT,313908715,True
0.01200844,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.32,0.016,0,SELL,testnet_sampling_v2,ETH/USDT,313908716,True
0.03902516,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.21,0.052,0,SELL,testnet_sampling_v2,ETH/USDT,313908717,True
0.02551400,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.03,0.034,0,SELL,testnet_sampling_v2,ETH/USDT,313908718,True
6.88424299,2026-08-14T06:45:49.227000+00:00,16760490396,BOTH,1876.02,9.174,0,SELL,testnet_sampling_v2,ETH/USDT,313908719,True
6.88856009,2026-08-14T06:59:17.419000+00:00,28540689993,BOTH,63128.30,0.2728,69.64584000,BUY,exit:e0c995ec-e052-4fb2-911b-cb9029c77366:TAKE_PROFIT,BTC/USDT,527397357,True
7.00550457,2026-08-14T07:30:35.847000+00:00,28540717372,BOTH,63067.20,0.2777,0,SELL,testnet_sampling_v2,BTC/USDT,527404761,True
6.97011448,2026-08-14T09:39:48.127000+00:00,28540836638,BOTH,62748.60,0.2777,88.47522000,BUY,exit:102b7034-b422-4167-b1d4-2054e0330a31:TAKE_PROFIT,BTC/USDT,527432454,True
0.07536000,2026-08-14T10:15:37.003000+00:00,28540865636,BOTH,62800,0.0030,0,SELL,testnet_sampling_v2,BTC/USDT,527438686,True
0.03767844,2026-08-14T10:15:37.003000+00:00,28540865636,BOTH,62797.40,0.0015,0,SELL,testnet_sampling_v2,BTC/USDT,527438687,True
0.03767514,2026-08-14T10:15:37.003000+00:00,28540865636,BOTH,62791.90,0.0015,0,SELL,testnet_sampling_v2,BTC/USDT,527438688,True
0.02511092,2026-08-14T10:15:37.003000+00:00,28540865636,BOTH,62777.30,0.0010,0,SELL,testnet_sampling_v2,BTC/USDT,527438689,True
0.11299050,2026-08-14T10:15:37.003000+00:00,28540865636,BOTH,62772.50,0.0045,0,SELL,testnet_sampling_v2,BTC/USDT,527438690,True
0.02008400,2026-08-14T10:15:37.003000+00:00,28540865636,BOTH,62762.50,0.0008,0,SELL,testnet_sampling_v2,BTC/USDT,527438691,True
6.79581522,2026-08-14T10:15:37.003000+00:00,28540865636,BOTH,62761.50,0.2707,0,SELL,testnet_sampling_v2,BTC/USDT,527438692,True
0.03957828,2026-08-14T14:19:01.495000+00:00,16760845948,BOTH,1866.90,0.053,0.48356090,BUY,exit:992260b4-765c-4b78-89ed-dda82a6f6bae:TAKE_PROFIT,ETH/USDT,314049354,True
0.03957849,2026-08-14T14:19:01.495000+00:00,16760845948,BOTH,1866.91,0.053,0.48303090,BUY,exit:992260b4-765c-4b78-89ed-dda82a6f6bae:TAKE_PROFIT,ETH/USDT,314049355,True
